ID,species,locality,county,sex,capture_date,lab_entry_date,SVL(mm)_at_lab_entry,mass(g)_at_lab_entry,mass(g)_14Oct2017,SVL(mm)_16April2018,mass(g)_16April2018,SVL(mm)_before_muscle_exp,mass(g)_before_muscle_exp,food_type,Ivermectin_treatment,Notes,50%MAMU,genotype
"""Sneaky 2""",Charina botae,,,-,,,,,,21,6,,,,,,,
"""Sneaky""",Charina botae,,,-,,,,,,40,41,,,,,,,
CRF,Charina bottae,Ash Canyon,NV,-,,27-Feb-17,,27,,,,,,mice,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
CRF2393,Thamnophis elegans,McCullough Ranch,Sonoma,F,,12-May-13,,,,77.5,255,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,Socialized,,
CRF2509,Charina bottae,Lily Lake,El Dorado,-,,27-Jun-14,,90,,-,-,,,mice,12-JULY-2017/27-JULY-2017/10-AUG-2017,FOUND DEAD 14-DEC-2017,,
CRF2980,Coluber constrictor,,Yolo,-,,21-Apr-16,,,,63.5,93,,,mice,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
CRF2981,Coluber constrictor,,Yolo,-,,21-Apr-16,,,,40,24,,,pinkies,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
CRF2986,Thamnophis elegans,,Gilroy,F,,26-Apr-16,,,,69,201,,,mice/trout,12-JULY-2017/27-JULY-2017/10-AUG-2017,Socialized,,
CRF3062,Thamnophis couchii,Willard Creek,Lassen,F,,18-Jul-16,,18.3,,64,148,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,7.6,
CRF3063,Thamnophis couchii,Cherry Creek,Tuolumne,F,,,,96.4,,58,121,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,17.9,
CRF3067,Thamnophis couchii,Cherry Creek,Tuolumne,F,,24-Aug-16,,44.3,,47,42,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,29,
CRF3150,Coluber constrictor,West Sacramento,Yolo,-,,25-May-17,,,,33,16,,,crickets,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
CRF3151,Charina bottae,Steamboat Ditch,"Washoe, NV",M,,19-Apr-17,,39,,37.5,30,,,,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
CRF3152,Pituophis catenifer,Girl Farm,Sierra,-,,8-May-17,800,150,,86,197,,,mice,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
CRF3155,Coluber constrictor,Reno,"Washoe, NV",-,,29-May-17,600,93,,58.5,59,,,mice,12-JULY-2017/27-JULY-2017/10-AUG-2017,,,
