CollPreNo,CollNo,CollPre,Genus,Sp,Location,County,State,Latitude,Longitude,DateColl,TimeColl,MAMU,Toxicity (mg),Notes,Stage,,,,,,,,,,,,,,,,,,,,,,,
KER001,001,KER,Thamnophis,couchii,Deep Creek,Fresno,CA,36.9337949,-119.2462864,6/1/2021,12:55,,,stationary in water when found,adult,,,,,,,,,,,,,,,,,,,,,,,
KER002,002,KER,Thamnophis,couchii,Deep Creek,Fresno,CA,36.9337949,-119.2462864,6/1/2021,13:05,60.00,,on pond edge,adult,,,,,,,,,,,,,,,,,,,,,,,
KER003,003,KER,Thamnophis ,sirtalis,Deep Creek,Fresno,CA,36.9337949,-119.2462864,6/2/2021,8:30,4.79,,"under rock, flipped",,,,,,,,,,,,,,,,,,,,,,,,
KER004,004,KER,Thamnophis ,couchii,Emerald Pools,Nevada,CA,36.3192668,-120.6566888,6/10/2021,12:00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,
KER005,005,KER,Thamnophis ,couchii,Emerald Pools,Nevada,CA,36.3192668,-120.6566888,6/10/2021,12:00,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,
KER006,006,KER,Thamnophis ,couchii,Emerald Pools,Nevada,CA,36.3192668,-120.6566888,6/10/2021,13:30,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,
KER007,007,KER,Coluber,constrictor,Deep Creek,Fresno,CA,36.8860171,-119.1738731,6/1/2021,18:00,,,DOR,,,,,,,,,,,,,,,,,,,,,,,,
KER008,008,KER,Thamnophis,atratus,Waddell Creek,Santa Cruz,CA,,,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,
KER009,009,KER,Thamnophis ,atratus,Waddell Creek,Santa Cruz,CA,,,,,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,
KER010,010,KER,Thamnophis ,atratus,Waddell Creek,Santa Cruz,CA,,,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,
KER011,011,KER,Thamnophis ,atratus,Waddell Creek,Santa Cruz,CA,,,,,120.00,,,,,,,,,,,,,,,,,,,,,,,,,,
KER012,012,KER,Thamnophis,elegans,New Brighton Beach ,Santa Cruz,CA,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,
KER013,013,KER,Thamnophis,couchii,Emerald Pools,Nevada,CA,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,
KER014,014,KER,Taricha,sierrae,Canyon Creek,Nevada,CA,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
KER015,015,KER,Taricha,sierrae,Canyon Creek,Nevada,CA,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
KER016,016,KER,Taricha,sierrae,Canyon Creek,Nevada,CA,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,
KER017,017,KER,Taricha,sierrae,Canyon Creek,Nevada,CA,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
KER018,018,KER,Taricha,sierrae,Canyon Creek,Nevada,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KER019,019,KER,Pituophis,catenifer,Red Rock Road,Washoe,NV,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
KER020,020,KER,Thamnophis,couchii,Emerald Pools,Nevada,CA,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,
KER021,021,KER,Thamnophis ,couchii,Emerald Pools,Nevada,CA,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,
KER022,022,KER,Thamnophis ,couchii,Emerald Pools,Nevada,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KER023,023,KER,Thamnophis ,couchii,Emerald Pools,Nevada,CA,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,
KER024,024,KER,Thamnophis ,couchii,Emerald Pools,Nevada,CA,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,
KER025,025,KER,Thamnophis ,couchii,Emerald Pools,Nevada,CA,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,
KER026,026,KER,Thamnophis,atratus,Waddell Creek,Santa Cruz,CA,,,,,120.00,,,,,,,,,,,,,,,,,,,,,,,,,,
KER027,027,KER,Pituophis,catenifer,Red Rock Road,Washoe,NV,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,
KER028,028,KER,Pituophis,catenifer,Red Rock Road,Washoe,NV,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,
KER029,029,KER,Taricha,torosa,Sonoma Mountain Ranch Preserve,Sonoma,CA,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
KER030,030,KER,Taricha,torosa,Sonoma Mountain Ranch Preserve,Sonoma,CA,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
KER031,031,KER,Taricha,torosa,Sonoma Mountain Ranch Preserve,Sonoma,CA,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
KER032,032,KER,Taricha,sierrae,Fiddle Creek,Sierra ,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KER033,033,KER,Taricha,sierrae,Fiddle Creek,Sierra ,CA,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
KER034,034,KER,Taricha,sierrae,Fiddle Creek,Sierra ,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KER035,035,KER,Taricha,sierrae,Canyon Creek,Nevada,CA,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
