MAMU,SVL,WT,TL
149.5,209.0,4.8,285.0
63.5,222.0,7.5,301.0
36.5,228.0,5.1,314.0
61.5,372.0,16.8,499.0
123.8,477.0,41.4,650.0
119.5,384.0,23.3,532.0
73.8,420.0,36.4,583.0
109.0,456.0,43.3,585.0
120.0,520.0,64.9,699.0
122.6,459.0,37.5,630.0
161.5,494.0,44.7,678.0
142.0,493.0,55.8,671.0
134.9,255.0,9.1,342.0
48.8,192,3.54,251
41.1,193,3.12,258
86,193,3.22,249
92.9,189,3.17,244
85.8,191,3.4,247
73.7,195,3.59,256
79.2,187,3.4,245
53.6,191,3.17,256
69.9,185,2.86,241
50.6,190,3.27,252
60.7,197,3.42,257
65,189,3.12,247
77.1,197,3.1,254
57.7,194,3.24,259
85.3,178,2.5,234
80.2,187,2.85,250
93.7,193,3.74,262
86.4,193,3.45,260
59,190,3.25,248
84.7,187,3.4,252
84.2,175,3.2,232
64,186,3.17,253
75.9,193,3.49,260
57.4,195,3.63,261
81.8,192,3.65,258
82.5,228,5.1,303
73.6,198,4.21,265
77.3,196,3.91,263
61.3,188,3.66,245
64.9,190,3.89,254
67.7,195,3.72,259
54.2,191,3.7,256
64.5,185,3.23,245
70.6,183,3.05,236
61,182,3.52,240
76,193,3.76,259
112.4,193,4.15,258
86.9,205,4.23,277
90.8,207,4.36,280
98.8,196,3.98,267
113.4,206,4.66,274
147.4,203,4.39,268
121,204,4.24,276
97.1,195,3.46,262
83.4,200,4.04,267
84.3,205,4.41,271
107.6,206,4.44,274
100,205,4.39,272
4.98,227,6.08,295
5.12,222,7.3,294
1.53,221,5.11,296
3.45,213,6.24,289
3.92,234,6.19,311
3.34,228,6.92,297
4.48,213,5.98,283
1.71,700,129.5,856
2.21,666,126.3,844
1.42,630,98.7,811
1.44,656,91.6,836
1.7,649,82.4,830
2.19,600,98.5,772
1.32,643,137.5,814
1.28,655,115.7,827
2.24,674,156.8,866
1.97,672,147.6,850
6,642,103.8,
9.45,744,202.5,
4.5,577,67.6,
5.65,710,147.9,
4.84,337,16.5,
5.35,380,18.5,
4.54,261,8.3,
5.2,253,6,
4.42,261,5.4,
2.88,248,6.5,
3.24,388,23.5,
2.52,650,117.9,
3.2,226,5.3,
2.64,559,62.2,
3.81,481,43.8,
2.95,473,42.5,
3.1,490,44.5,
2.65,529,58,
74.5,591,58.6,
88,526,57.3,
70.5,572,75.7,
47.7,435,34.9,
80,423,35.6,
18.6,544,59.9,
102,220,5.6,
40.7,186,5.6,254
98.6,180,4.4,247
86,182,4.3,252
74.5,193,4.8,264
45.8,188,4.5,260
74,187,4.9,255
69,188,5.5,260
63.2,188,4.3,258
7.17,517,47,676
5.33,390,20.5,
7.76,355,15.3,435
5.55,430,27.7,576
6.19,260,5.4,
9.5,344,13,459
7.95,382,20,493
100,528,50.2,704
100,464,40.1,597
96.4,504,47.7,658
23.1,402,25.8,529
26,522,55.6,728
31.3,474,44.8,
20,355,15.3,487
61,406,20.2,529
43.8,465,34.2,624
93.5,422,35.4,556
86.9,453,29.4,595
2.23,553,81,722
4.22,443,27.8,595
3.96,419,27.8,540
3.13,210,3.3,271
4.47,202,3.3,289
25,621,83.4,825
47.5,678,133.3,877
37.5,723,219.2,944
42,568,65.9,736
27.3,216,2.9,275
39,694,127,887
31.6,602,99.8,793
6.3,605,78.2,886
7.46,367,16.4,479
15.5,656,79,791
56.7,782,163.8,970
47,432,23.4,566
87.2,314,9.4,407
10.9,854,252.7,1100
43.4,411,21.2,551
17.5,342,11.5,453
81.5,570,76.3,
8.12,405,24.7,
26.4,523,42.9,712
82.8,531,41.5,715
3.06,240,23.4,318
2.47,254,24.7,340
