 INDIV ,species,Locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,ml of Dilution,dilution,,50% MAMU,,
  3.30 ,T.c.,Hat Cr.,129.5,700,856,0.545,0.647,0.596 ,0.5MU,0.00093 ,0.917,64.99%,0.093,.01mg/ml,,1.71,,
  3.30 ,T.c.,Hat Cr.,129.5,700,856,0.545,0.647,0.596 ,15MU,0.02776 ,10.013,5.95%,0.139,.2mg/ml,,,,
  3.30 ,T.c.,Hat Cr.,129.5,700,856,0.545,0.647,0.596 ,1MU,0.00185 ,0.922,64.64%,0.185,.01mg/ml,,,,
  3.30 ,T.c.,Hat Cr.,129.5,700,856,0.545,0.647,0.596 ,2MU,0.00370 ,1.348,44.21%,0.074,.05mg/ml,,,,
  3.30 ,T.c.,Hat Cr.,129.5,700,856,0.545,0.647,0.596 ,3MU,0.00555 ,4.723,12.62%,0.111,.05mg/ml,,,,
  3.30 ,T.c.,Hat Cr.,129.5,700,856,0.545,0.647,0.596 ,6MU,0.01110 ,10.333,5.77%,0.111,.1mg/ml,,,,
  3.31 ,T.c.,Hat Cr.,126.3,666,844,0.575,0.688,0.632 ,0.5MU,0.00090 ,0.881,71.68%,0.090,.01mg/ml,,2.21,,
  3.31 ,T.c.,Hat Cr.,126.3,666,844,0.575,0.688,0.632 ,15MU,0.02707 ,5.739,11.00%,0.135,.2mg/ml,,,,
  3.31 ,T.c.,Hat Cr.,126.3,666,844,0.575,0.688,0.632 ,1MU,0.00180 ,0.955,66.13%,0.180,.01mg/ml,,,,
  3.31 ,T.c.,Hat Cr.,126.3,666,844,0.575,0.688,0.632 ,2MU,0.00361 ,1.216,51.93%,0.072,.05mg/ml,,,,
  3.31 ,T.c.,Hat Cr.,126.3,666,844,0.575,0.688,0.632 ,3MU,0.00541 ,1.443,43.76%,0.108,.05mg/ml,,,,
  3.32 ,T.c.,Hat Cr.,98.7,630,811,0.631,0.66,0.646 ,0.5MU,0.00071 ,0.764,84.49%,0.071,.01mg/ml,,1.42,,
  3.32 ,T.c.,Hat Cr.,98.7,630,811,0.631,0.66,0.646 ,15MU,0.02116 ,17.298,3.73%,0.106,.2mg/ml,,,,
  3.32 ,T.c.,Hat Cr.,98.7,630,811,0.631,0.66,0.646 ,1MU,0.00141 ,1.04,62.07%,0.141,.01mg/ml,,,,
  3.32 ,T.c.,Hat Cr.,98.7,630,811,0.631,0.66,0.646 ,2MU,0.00282 ,1.92,33.62%,0.056,.05mg/ml,,,,
  3.32 ,T.c.,Hat Cr.,98.7,630,811,0.631,0.66,0.646 ,3MU,0.00423 ,3.697,17.46%,0.085,.05mg/ml,,,,
  3.32 ,T.c.,Hat Cr.,98.7,630,811,0.631,0.66,0.646 ,6MU,0.00846 ,4.276,15.10%,0.085,.1mg/ml,,,,
  3.33 ,T.c.,Hat Cr.,91.6,656,836,0.588,0.513,0.551 ,0.5MU,0.00065 ,0.601,91.60%,0.065,.01mg/ml,,1.44,,
  3.33 ,T.c.,Hat Cr.,91.6,656,836,0.588,0.513,0.551 ,15MU,0.01963 ,6.154,8.95%,0.098,.2mg/ml,,,,
  3.33 ,T.c.,Hat Cr.,91.6,656,836,0.588,0.513,0.551 ,1MU,0.00131 ,0.841,65.46%,0.131,.01mg/ml,,,,
  3.33 ,T.c.,Hat Cr.,91.6,656,836,0.588,0.513,0.551 ,2MU,0.00262 ,1.795,30.67%,0.052,.05mg/ml,,,,
  3.33 ,T.c.,Hat Cr.,91.6,656,836,0.588,0.513,0.551 ,3MU,0.00393 ,1.611,34.17%,0.079,.05mg/ml,,,,
  3.33 ,T.c.,Hat Cr.,91.6,656,836,0.588,0.513,0.551 ,6MU,0.00785 ,7.224,7.62%,0.079,.1mg/ml,,,,
  3.34 ,T.c.,Deer Cr.,82.4,649,830,0.609,0.666,0.638 ,0.5MU,0.00059 ,0.628,101.51%,0.059,.01mg/ml,,1.7,,
  3.34 ,T.c.,Deer Cr.,82.4,649,830,0.609,0.666,0.638 ,15MU,0.01766 ,7.388,8.63%,0.088,.2mg/ml,,,,
  3.34 ,T.c.,Deer Cr.,82.4,649,830,0.609,0.666,0.638 ,1MU,0.00118 ,0.932,68.40%,0.118,.01mg/ml,,,,
  3.34 ,T.c.,Deer Cr.,82.4,649,830,0.609,0.666,0.638 ,2MU,0.00235 ,1.517,42.02%,0.047,.05mg/ml,,,,
  3.34 ,T.c.,Deer Cr.,82.4,649,830,0.609,0.666,0.638 ,3MU,0.00353 ,2.536,25.14%,0.071,.05mg/ml,,,,
  3.35 ,T.c.,Deer Cr.,98.5,600,772,0.582,0.643,0.613 ,0.5MU,0.00070 ,0.678,90.34%,0.070,.01mg/ml,,2.19,,
  3.35 ,T.c.,Deer Cr.,98.5,600,772,0.582,0.643,0.613 ,1MU,0.00141 ,0.957,64.00%,0.141,.01mg/ml,,,,
  3.35 ,T.c.,Deer Cr.,98.5,600,772,0.582,0.643,0.613 ,2MU,0.00282 ,1.133,54.06%,0.056,.05mg/ml,,,,
  3.35 ,T.c.,Deer Cr.,98.5,600,772,0.582,0.643,0.613 ,3MU,0.00422 ,1.839,33.31%,0.084,.05mg/ml,,,,
  3.35 ,T.c.,Deer Cr.,98.5,600,772,0.582,0.643,0.613 ,6MU,0.00845 ,2.482,24.68%,0.084,.1mg/ml,,,,
