 INDIV ,species,Locality,WT,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,
ZA01,T.c.,Dogtown Cr.,4.85,225,291,0.954,0.797,0.876,10MU,0.000693065,1.122,78.03%,0.00001429,0.069,0.01,>50
ZA01,T.c.,Dogtown Cr.,4.85,225,291,0.954,0.797,0.876,25MU,0.001732663,1.228,71.29%,,0.069,0.025,
ZA01,T.c.,Dogtown Cr.,4.85,225,291,0.954,0.797,0.876,50MU,0.003465325,1.272,68.83%,,0.035,0.1,
ZA02,T.c.,Dogtown Cr.,4.9,224,293,1.022,0.7,0.861,10MU,0.00070021,1.346,63.97%,,0.07,0.01,>50
ZA02,T.c.,Dogtown Cr.,4.9,224,293,1.022,0.7,0.861,25MU,0.001750525,1.15,74.87%,,0.07,0.025,
ZA02,T.c.,Dogtown Cr.,4.9,224,293,1.022,0.7,0.861,50MU,0.00350105,1.509,57.06%,,0.035,0.1,
ZA03,T.c.,Dogtown Cr.,4.86,226,293,0.919,0.725,0.822,10MU,0.000694494,0.722,113.85%,,0.069,0.01,>50
ZA03,T.c.,Dogtown Cr.,4.86,226,293,0.919,0.725,0.822,25MU,0.001736235,1.212,67.82%,,0.069,0.025,
ZA03,T.c.,Dogtown Cr.,4.86,226,293,0.919,0.725,0.822,50MU,0.00347247,1.277,64.37%,,0.035,0.1,
ZA04,T.c.,Dogtown Cr.,4.75,231,298,0.913,0.647,0.78,10MU,0.000678775,1.209,64.52%,,0.068,0.01,>50
ZA04,T.c.,Dogtown Cr.,4.75,231,298,0.913,0.647,0.78,25MU,0.001696938,1.345,57.99%,,0.068,0.025,
ZA04,T.c.,Dogtown Cr.,4.75,231,298,0.913,0.647,0.78,50MU,0.003393875,1.232,63.31%,,0.034,0.1,
ZA05,T.c.,Dogtown Cr.,4.53,224,291,0.883,0.677,0.78,10MU,0.000647337,1.021,76.40%,,0.065,0.01,>50
ZA05,T.c.,Dogtown Cr.,4.53,224,291,0.883,0.677,0.78,25MU,0.001618343,1.294,60.28%,,0.065,0.025,
ZA05,T.c.,Dogtown Cr.,4.53,224,291,0.883,0.677,0.78,50MU,0.003236685,1.125,69.33%,,0.032,0.1,
ZA06,T.c.,Dogtown Cr.,4.38,222,290,0.856,1.144,1,10MU,0.000625902,0.958,104.38%,,0.063,0.01,>50
ZA06,T.c.,Dogtown Cr.,4.38,222,290,0.856,1.144,1,25MU,0.001564755,1.147,87.18%,,0.063,0.025,
ZA06,T.c.,Dogtown Cr.,4.38,222,290,0.856,1.144,1,50MU,0.00312951,1.062,94.16%,,0.031,0.1,
ZA07,T.c.,Dogtown Cr.,4.07,215,275,1.078,0.913,0.996,10MU,0.000581603,1.286,77.41%,,0.058,0.01,>50
ZA07,T.c.,Dogtown Cr.,4.07,215,275,1.078,0.913,0.996,25MU,0.001454008,0.813,122.45%,,0.058,0.025,
ZA07,T.c.,Dogtown Cr.,4.07,215,275,1.078,0.913,0.996,50MU,0.002908015,1.182,84.22%,,0.029,0.1,
ZA08,T.c.,Dogtown Cr.,4.81,223,297,1.068,0.924,0.996,10MU,0.000687349,0.827,120.44%,,0.069,0.01,>50
ZA08,T.c.,Dogtown Cr.,4.81,223,297,1.068,0.924,0.996,25MU,0.001718373,1.254,79.43%,,0.069,0.025,
ZA08,T.c.,Dogtown Cr.,4.81,223,297,1.068,0.924,0.996,50MU,0.003436745,1.136,87.68%,,0.034,0.1,
 ZB01 ,T.c.,Dogtown Cr.,5.54,234,303,0.886,0.771,0.829,10MU,0.000791666,0.804,103.05%,,0.079,0.01,>50
 ZB01 ,T.c.,Dogtown Cr.,5.54,234,303,0.886,0.771,0.829,25MU,0.001979165,1.467,56.48%,,0.079,0.025,
 ZB01 ,T.c.,Dogtown Cr.,5.54,234,303,0.886,0.771,0.829,50MU,0.00395833,1.345,61.60%,,0.04,0.1,
 ZB02 ,T.c.,Dogtown Cr.,5.38,235,302,0.93,0.7,0.815,10MU,0.000768802,0.832,97.96%,,0.077,0.01,>50
 ZB02 ,T.c.,Dogtown Cr.,5.38,235,302,0.93,0.7,0.815,25MU,0.001922005,0.799,102.00%,,0.077,0.025,
 ZB02 ,T.c.,Dogtown Cr.,5.38,235,302,0.93,0.7,0.815,50MU,0.00384401,1.139,71.55%,,0.038,0.1,
 ZB03 ,T.c.,Dogtown Cr.,5.45,237,309,0.993,1.039,1.016,10MU,0.000778805,0.849,119.67%,,0.078,0.01,>50
 ZB03 ,T.c.,Dogtown Cr.,5.45,237,309,0.993,1.039,1.016,25MU,0.001947013,0.907,112.02%,,0.078,0.025,
 ZB03 ,T.c.,Dogtown Cr.,5.45,237,309,0.993,1.039,1.016,50MU,0.003894025,1.14,89.12%,,0.039,0.1,
 ZB04 ,T.c.,Dogtown Cr.,5.38,237,310,1.024,0.853,0.939,10MU,0.000768802,0.871,107.75%,,0.077,0.01,>50
 ZB04 ,T.c.,Dogtown Cr.,5.38,237,310,1.024,0.853,0.939,25MU,0.001922005,0.9,104.28%,,0.077,0.025,
 ZB04 ,T.c.,Dogtown Cr.,5.38,237,310,1.024,0.853,0.939,50MU,0.00384401,0.977,96.06%,,0.038,0.1,
 ZB05 ,T.c.,Dogtown Cr.,5.33,227,296,0.946,0.84,0.893,10MU,0.000761657,0.927,96.33%,,0.076,0.01,>50
 ZB05 ,T.c.,Dogtown Cr.,5.33,227,296,0.946,0.84,0.893,25MU,0.001904143,1.636,54.58%,,0.076,0.025,
 ZB05 ,T.c.,Dogtown Cr.,5.33,227,296,0.946,0.84,0.893,50MU,0.003808285,1.177,75.87%,,0.038,0.1,
 ZB06 ,T.c.,Dogtown Cr.,5.62,236,307,0.866,0.816,0.841,10MU,0.000803098,1.09,77.16%,,0.08,0.01,>50
 ZB06 ,T.c.,Dogtown Cr.,5.62,236,307,0.866,0.816,0.841,25MU,0.002007745,1.006,83.60%,,0.08,0.025,
 ZB06 ,T.c.,Dogtown Cr.,5.62,236,307,0.866,0.816,0.841,50MU,0.00401549,1.466,57.37%,,0.04,0.1,
 ZB07 ,T.c.,Dogtown Cr.,4.73,228,302,1.068,0.711,0.89,10MU,0.000675917,1.088,81.76%,,0.068,0.01,>50
 ZB07 ,T.c.,Dogtown Cr.,4.73,228,302,1.068,0.711,0.89,25MU,0.001689793,1.505,59.10%,,0.068,0.025,
 ZB07 ,T.c.,Dogtown Cr.,4.73,228,302,1.068,0.711,0.89,50MU,0.003379585,0.991,89.76%,,0.034,0.1,
