INDIV,species,Locality,WT,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,,
12.02,T. couchii,"N Fork Mokelumne, CA",35.8,,,0.523,0.71,0.617,1MU,0.000511582,0.646,95.43%,0.00001429,0.102,0.005,CRF 2335,13.9
12.02,T. couchii,"N Fork Mokelumne, CA",35.8,,,0.523,0.71,0.617,3MU,0.001534746,0.68,90.66%,,0.031,0.05,CRF 2335,
12.02,T. couchii,"N Fork Mokelumne, CA",35.8,,,0.523,0.71,0.617,5MU,0.00255791,1.368,45.07%,,0.051,0.05,CRF 2335,
12.02,T. couchii,"N Fork Mokelumne, CA",35.8,,,0.523,0.71,0.617,10MU,0.00511582,1.061,58.11%,,0.102,0.05,CRF 2335,
12.02,T. couchii,"N Fork Mokelumne, CA",35.8,,,0.523,0.71,0.617,25MU,0.01278955,2.256,27.33%,,0.128,0.1,CRF 2335,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067,1MU,0.000070021,0.891,119.70%,,0.014,0.005,CRF 2336,>50
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067,3MU,0.000210063,1.174,90.84%,,0.042,0.005,CRF 2336,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067,5MU,0.000350105,1.196,89.17%,,0.07,0.005,CRF 2336,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067,10MU,0.00070021,1.147,92.98%,,0.14,0.005,CRF 2336,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067,25MU,0.001750525,1.021,104.46%,,0.035,0.05,CRF 2336,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067,50MU,0.00350105,1.887,56.52%,,0.07,0.05,CRF 2336,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042,1MU,0.000072879,1.095,95.11%,,0.015,0.005,CRF 2337,>50
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042,3MU,0.000218637,1.219,85.44%,,0.044,0.005,CRF 2337,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042,5MU,0.000364395,0.947,109.98%,,0.073,0.005,CRF 2337,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042,10MU,0.00072879,1.413,73.71%,,0.146,0.005,CRF 2337,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042,25MU,0.001821975,1.725,60.38%,,0.036,0.05,CRF 2337,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042,50MU,0.00364395,1.716,60.69%,,0.073,0.05,CRF 2337,
12.023,T. couchii,"N Fork Mokelumne, CA",5.4,,,0.845,0.976,0.911,1MU,0.000077166,1.166,78.09%,,0.015,0.005,CRF 2338,15
12.023,T. couchii,"N Fork Mokelumne, CA",5.4,,,0.845,0.976,0.911,3MU,0.000231498,1.328,68.56%,,0.046,0.005,CRF 2338,
12.023,T. couchii,"N Fork Mokelumne, CA",5.4,,,0.845,0.976,0.911,5MU,0.00038583,1.257,72.43%,,0.077,0.005,CRF 2338,
12.023,T. couchii,"N Fork Mokelumne, CA",5.4,,,0.845,0.976,0.911,10MU,0.00077166,1.679,54.23%,,0.154,0.005,CRF 2338,
12.023,T. couchii,"N Fork Mokelumne, CA",5.4,,,0.845,0.976,0.911,25MU,0.00192915,2.18,41.77%,,0.039,0.05,CRF 2338,
12.024,T. couchii,"N Fork Mokelumne, CA",4.9,,,0.92,0.769,0.845,1MU,0.000070021,1.028,82.15%,,0.014,0.005,CRF 2339,No data
12.024,T. couchii,"N Fork Mokelumne, CA",4.9,,,0.92,0.769,0.845,3MU,0.000210063,1.067,79.15%,,0.042,0.005,CRF 2339,
12.024,T. couchii,"N Fork Mokelumne, CA",4.9,,,0.92,0.769,0.845,5MU,0.000350105,1.436,58.81%,,0.07,0.005,CRF 2339,
12.024,T. couchii,"N Fork Mokelumne, CA",4.9,,,0.92,0.769,0.845,10MU,0.00070021,,#DIV/0!,,0.14,0.005,CRF 2339,
12.024,T. couchii,"N Fork Mokelumne, CA",4.9,,,0.92,0.769,0.845,25MU,0.001750525,,#DIV/0!,,0.035,0.05,CRF 2339,
12.025,T. couchii,"N Fork Mokelumne, CA",50.6,,,0.558,0.53,0.544,1MU,0.000723074,0.658,82.67%,,0.145,0.005,CRF 2340,15.8
