ID,species,Locality,Mass,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,,MAMU @ 50%
15.22,couchii,"Canyon Cr., NV Co, CA",19.9,,,0.766,0.696,0.731,5MU,0.001421855,0.754,96.95%,,0.142,0.01,CRF2669,
15.22,couchii,"Canyon Cr., NV Co, CA",19.9,,,0.766,0.696,0.731,10MU,0.00284371,0.992,73.69%,,0.057,0.05,CRF2669,
15.22,couchii,"Canyon Cr., NV Co, CA",19.9,,,0.766,0.696,0.731,25MU,0.007109275,1.142,64.01%,,0.071,0.1,CRF2669,
15.22,couchii,"Canyon Cr., NV Co, CA",19.9,,,0.766,0.696,0.731,50MU,0.01421855,1.004,72.81%,,0.142,0.1,CRF2669,
15.22,couchii,"Canyon Cr., NV Co, CA",19.9,,,0.766,0.696,0.731,100MU,0.0284371,1.924,37.99%,,0.284,0.1,CRF2669,82.5
15.23,couchii,"Canyon Cr., NV Co, CA",7.2,,,0.79,0.963,0.877,5MU,0.00051444,0.891,98.37%,,0.103,0.005,CRF2670,
15.23,couchii,"Canyon Cr., NV Co, CA",7.2,,,0.79,0.963,0.877,10MU,0.00102888,0.989,88.62%,,0.103,0.01,CRF2670,
15.23,couchii,"Canyon Cr., NV Co, CA",7.2,,,0.79,0.963,0.877,25MU,0.0025722,1.072,81.76%,,0.051,0.05,CRF2670,
15.23,couchii,"Canyon Cr., NV Co, CA",7.2,,,0.79,0.963,0.877,50MU,0.0051444,0.833,105.22%,,0.051,0.1,CRF2670,
15.23,couchii,"Canyon Cr., NV Co, CA",7.2,,,0.79,0.963,0.877,100MU,0.0102888,4.124,21.25%,,0.103,0.1,CRF2670,82
15.24,couchii,"Canyon Cr., NV Co, CA",50.9,,,0.573,0.61,0.592,5MU,0.003636805,0.715,82.73%,,0.073,0.05,CRF2671,
15.24,couchii,"Canyon Cr., NV Co, CA",50.9,,,0.573,0.61,0.592,10MU,0.00727361,0.788,75.06%,,0.145,0.05,CRF2671,
15.24,couchii,"Canyon Cr., NV Co, CA",50.9,,,0.573,0.61,0.592,25MU,0.018184025,2.888,20.48%,,0.182,0.1,CRF2671,17
15.25,couchii,"Canyon Cr., NV Co, CA",10.8,,,0.701,0.621,0.661,5MU,0.00077166,0.771,85.73%,,0.077,0.01,CRF2672,
15.25,couchii,"Canyon Cr., NV Co, CA",10.8,,,0.701,0.621,0.661,10MU,0.00154332,0.954,69.29%,,0.154,0.01,CRF2672,
15.25,couchii,"Canyon Cr., NV Co, CA",10.8,,,0.701,0.621,0.661,25MU,0.0038583,1.026,64.42%,,0.077,0.05,CRF2672,
15.25,couchii,"Canyon Cr., NV Co, CA",10.8,,,0.701,0.621,0.661,50MU,0.0077166,4.78,13.83%,,0.077,0.1,CRF2672,32
15.26,couchii,"Canyon Cr., NV Co, CA",22.4,,,0.68,0.642,0.661,5MU,0.00160048,0.877,75.37%,,0.16,0.01,CRF2673,
15.26,couchii,"Canyon Cr., NV Co, CA",22.4,,,0.68,0.642,0.661,10MU,0.00320096,0.869,76.06%,,0.064,0.05,CRF2673,
15.26,couchii,"Canyon Cr., NV Co, CA",22.4,,,0.68,0.642,0.661,25MU,0.0080024,1.539,42.95%,,0.08,0.1,CRF2673,21.8
15.27,couchii,"Canyon Cr., NV Co, CA",5,,,0.926,0.86,0.893,5MU,0.00035725,0.966,92.44%,,0.071,0.005,CRF2674,
15.27,couchii,"Canyon Cr., NV Co, CA",5,,,0.926,0.86,0.893,10MU,0.0007145,1.269,70.37%,,0.071,0.01,CRF2674,
15.27,couchii,"Canyon Cr., NV Co, CA",5,,,0.926,0.86,0.893,25MU,0.00178625,1.997,44.72%,,0.036,0.05,CRF2674,21.9
15.28,couchii,"Canyon Cr., NV Co, CA",4.7,,,0.953,1.06,1.007,5MU,0.000335815,1.02,98.68%,,0.067,0.005,CRF2675,
15.28,couchii,"Canyon Cr., NV Co, CA",4.7,,,0.953,1.06,1.007,10MU,0.00067163,0.998,100.85%,,0.067,0.01,CRF2675,
15.28,couchii,"Canyon Cr., NV Co, CA",4.7,,,0.953,1.06,1.007,25MU,0.001679075,1.385,72.67%,,0.034,0.05,CRF2675,
15.28,couchii,"Canyon Cr., NV Co, CA",4.7,,,0.953,1.06,1.007,50MU,0.00335815,12.403,8.11%,,0.034,0.1,CRF2675,33.7
15.29,couchii,"Canyon Cr., NV Co, CA",20.6,,,0.722,0.659,0.691,5MU,0.00147187,0.751,91.94%,,0.147,0.01,CRF2676,
15.29,couchii,"Canyon Cr., NV Co, CA",20.6,,,0.722,0.659,0.691,10MU,0.00294374,0.837,82.50%,,0.059,0.05,CRF2676,
15.29,couchii,"Canyon Cr., NV Co, CA",20.6,,,0.722,0.659,0.691,25MU,0.00735935,1.762,39.19%,,0.074,0.1,CRF2676,21.3
15.3,couchii,"Canyon Cr., NV Co, CA",5.8,,,0.871,0.938,0.905,5MU,0.00041441,0.997,90.72%,,0.083,0.005,CRF2677,
15.3,couchii,"Canyon Cr., NV Co, CA",5.8,,,0.871,0.938,0.905,10MU,0.00082882,1.038,87.14%,,0.083,0.01,CRF2677,
15.3,couchii,"Canyon Cr., NV Co, CA",5.8,,,0.871,0.938,0.905,25MU,0.00207205,1.203,75.19%,,0.041,0.05,CRF2677,
15.3,couchii,"Canyon Cr., NV Co, CA",5.8,,,0.871,0.938,0.905,50MU,0.0041441,2.647,34.17%,,0.041,0.1,CRF2677,40.2
15.31,couchii,"Canyon Cr., NV Co, CA",15.8,,,0.739,0.708,0.724,5MU,0.00112891,0.761,95.07%,,0.113,0.01,CRF2678,
15.31,couchii,"Canyon Cr., NV Co, CA",15.8,,,0.739,0.708,0.724,10MU,0.00225782,1.141,63.41%,,0.045,0.05,CRF2678,
15.31,couchii,"Canyon Cr., NV Co, CA",15.8,,,0.739,0.708,0.724,25MU,0.00564455,1.286,56.26%,,0.056,0.1,CRF2678,
15.31,couchii,"Canyon Cr., NV Co, CA",15.8,,,0.739,0.708,0.724,50MU,0.0112891,1.704,42.46%,,0.113,0.1,CRF2678,36.5
15.32,couchii,"Canyon Cr., NV Co, CA",11.4,,,0.757,0.833,0.795,5MU,0.00081453,0.935,85.03%,,0.081,0.01,CRF2679,
15.32,couchii,"Canyon Cr., NV Co, CA",11.4,,,0.757,0.833,0.795,10MU,0.00162906,0.939,84.66%,,0.033,0.05,CRF2679,
15.32,couchii,"Canyon Cr., NV Co, CA",11.4,,,0.757,0.833,0.795,25MU,0.00407265,0.996,79.82%,,0.081,0.05,CRF2679,
15.32,couchii,"Canyon Cr., NV Co, CA",11.4,,,0.757,0.833,0.795,50MU,0.0081453,7.913,10.05%,,0.081,0.1,CRF2679,35.7
