 ID ,Collector ID,Species,Locality,,Mass,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,50%MAMU
16.1,EJE 158,T. couchii,Nevada,Faucherie Lake Dam,56.8,,,0.946,0.72,0.833,5MAMU,0.00405836,1.301,64.03%,,0.081,0.05,8.6
16.1,EJE 158,T. couchii,Nevada,Faucherie Lake Dam,56.8,,,0.946,0.72,0.833,10MAMU,0.00811672,1.864,44.69%,,0.081,0.1,
16.101,EJE 159,T. couchii,Nevada,Faucherie Lake Dam,33.2,,,0.663,0.756,0.71,5MAMU,0.00237214,1.139,62.29%,,0.047,0.05,21.4
16.101,EJE 159,T. couchii,Nevada,Faucherie Lake Dam,33.2,,,0.663,0.756,0.71,10MAMU,0.00474428,0.721,98.40%,,0.095,0.05,
16.101,EJE 159,T. couchii,Nevada,Faucherie Lake Dam,33.2,,,0.663,0.756,0.71,25MAMU,0.0118607,2.037,34.83%,,0.119,0.1,
16.102,EJE 160,T. couchii,Nevada,Faucherie Lake Dam,9.4,,,0.913,,0.913,5MAMU,0.00067163,1.889,48.33%,,0.013,0.05,21.7
16.102,EJE 160,T. couchii,Nevada,Faucherie Lake Dam,9.4,,,0.913,,0.913,10MAMU,0.00134326,1.621,56.32%,,0.027,0.05,
16.102,EJE 160,T. couchii,Nevada,Faucherie Lake Dam,9.4,,,0.913,,0.913,25MAMU,0.00335815,4.294,21.26%,,0.067,0.05,
16.108,CRF 3063,T. couchii,Toulumne,Cherry Creek,89.2,,,0.865,,0.865,25MAMU,0.0318667,,#DIV/0!,,0.319,0.1,Gave Birth
16.108,CRF 3063,T. couchii,Toulumne,Cherry Creek,89.2,,,0.865,,0.865,25MAMU,0.0318667,0.954,90.67%,,0.319,0.1,
16.108,CRF 3063,T. couchii,Toulumne,Cherry Creek,89.2,,,0.865,,0.865,50MAMU,0.0637334,,#DIV/0!,,0.637,0.1,birth
16.109,CRF 3064,T. couchii,Toulumne,Cherry Creek,48.8,,,0.706,0.796,0.751,25MAMU,0.0174338,1.183,63.48%,,0.174,0.1,69
16.109,CRF 3064,T. couchii,Toulumne,Cherry Creek,48.8,,,0.706,0.796,0.751,50MAMU,0.0348676,1.036,72.49%,,0.349,0.1,
16.109,CRF 3064,T. couchii,Toulumne,Cherry Creek,48.8,,,0.706,0.796,0.751,100MAMU,0.0697352,5.39,13.93%,,0.697,0.1,
16.11,CRF 3065,T. couchii,Toulumne,Cherry Creek,59.4,,,0.702,0.867,0.785,25MAMU,0.02122065,1.023,76.69%,,0.212,0.1,85.3
16.11,CRF 3065,T. couchii,Toulumne,Cherry Creek,59.4,,,0.702,0.867,0.785,50MAMU,0.0424413,0.825,95.09%,,0.424,0.1,
16.11,CRF 3065,T. couchii,Toulumne,Cherry Creek,59.4,,,0.702,0.867,0.785,100MAMU,0.0848826,2.512,31.23%,,0.849,0.1,
16.111,CRF 3066,T. couchii,Toulumne,Cherry Creek,62.7,,,0.731,,0.731,25MAMU,0.022399575,1.306,55.97%,,0.224,0.1,122.8
16.111,CRF 3066,T. couchii,Toulumne,Cherry Creek,62.7,,,0.731,,0.731,50MAMU,0.04479915,1.325,55.17%,,0.448,0.1,
