INDIV,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,Unnamed: 11,50% MAMU,Unnamed: 13,Unnamed: 14
SE1,3.54,192,251,1.107,1.137,1.122,,0.001,1.515,74.06%,,48.8,,
SE10,3.12,193,258,1.009,1.002,1.006,,0.001,1.505,66.81%,,41.1,,
SE11,3.22,193,249,1.165,1.28,1.223,,0.001,1.501,81.45%,,86,,
SE12,3.17,189,244,1.092,1.209,1.151,,0.001,1.728,66.58%,,92.9,,
SE13,3.4,191,247,1.241,1.155,1.198,,0.001,1.059,113.13%,,85.8,,
SE14,3.59,195,256,1.155,1.237,1.196,,0.001,1.81,66.08%,,73.7,,
SE15,3.4,187,245,1.174,1.048,1.111,,0.001,1.72,64.59%,,79.2,,
SE2,3.17,191,256,1.197,1.032,1.115,,0.001,1.408,79.15%,,53.6,,
SE3,2.86,185,241,1.139,1.148,1.144,,0.001,1.126,101.55%,,69.9,,
SE4,3.27,190,252,1.207,1.062,1.135,,0.001,1.401,80.98%,,50.6,,
SE5,3.42,197,257,1.1,1.252,1.176,,0.001,1.472,79.89%,,60.7,,
SE6,3.12,189,247,1.122,1.114,1.118,,0.001,1.382,80.90%,,65,,
SE7,3.1,197,254,1.192,1.153,1.173,,0.001,1.386,84.60%,,77.1,,
SE8,3.58,199,259,0.991,1.107,1.049,,0.001,1.322,79.35%,,>95,,
SE9,3.24,194,259,1.117,1.135,1.126,,0.001,1.886,59.70%,,57.7,,
SS1,4.03,202,265,1.584,1.309,1.447,,0.002,1.754,82.47%,,>95,,
SS2,3.91,204,264,1.197,1.421,1.309,,0.002,1.552,84.34%,,>95,,
SS3,2.5,178,234,1.754,1.22,1.487,,0.002,2.023,73.50%,,85.3,,
SS4,3.61,192,255,1.365,1.327,1.346,,0.002,1.76,76.48%,,>95,,
SS5,3.69,203,269,1.546,1.15,1.348,,0.002,1.651,81.65%,,>95,,
SS6,3.84,207,264,1.71,1.289,1.5,,0.002,1.425,105.23%,,>95,,
SS7,2.85,187,250,1.476,1.387,1.432,,0.002,1.466,97.65%,,80.2,,
SS8,3.32,201,258,1.665,1.216,1.441,,0.002,1.54,93.54%,,>95,,
SS9,3.51,203,262,1.507,1.395,1.451,,0.002,1.629,89.07%,,>95,,
SZ1,3.74,193,262,1.168,1.182,1.175,,0.002,1.361,86.33%,,93.7,,
