INDIV,species,Locality,WT,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,Unnamed: 16
ZA01,T.c.,Dogtown Cr.,4.85,225.0,291.0,0.954,0.797,0.876,10MU,0.000693065,1.122,78.03%,1.429e-05,0.069,0.01,>50
ZA02,T.c.,Dogtown Cr.,4.9,224.0,293.0,1.022,0.7,0.861,10MU,0.00070021,1.346,63.97%,,0.07,0.01,>50
ZA03,T.c.,Dogtown Cr.,4.86,226.0,293.0,0.919,0.725,0.822,10MU,0.000694494,0.722,113.85%,,0.069,0.01,>50
ZA04,T.c.,Dogtown Cr.,4.75,231.0,298.0,0.913,0.647,0.78,10MU,0.000678775,1.209,64.52%,,0.068,0.01,>50
ZA05,T.c.,Dogtown Cr.,4.53,224.0,291.0,0.883,0.677,0.78,10MU,0.000647337,1.021,76.40%,,0.065,0.01,>50
ZA06,T.c.,Dogtown Cr.,4.38,222.0,290.0,0.856,1.144,1.0,10MU,0.000625902,0.958,104.38%,,0.063,0.01,>50
ZA07,T.c.,Dogtown Cr.,4.07,215.0,275.0,1.078,0.913,0.996,10MU,0.000581603,1.286,77.41%,,0.058,0.01,>50
ZA08,T.c.,Dogtown Cr.,4.81,223.0,297.0,1.068,0.924,0.996,10MU,0.000687349,0.827,120.44%,,0.069,0.01,>50
ZB01,T.c.,Dogtown Cr.,5.54,234.0,303.0,0.886,0.771,0.829,10MU,0.000791666,0.804,103.05%,,0.079,0.01,>50
ZB02,T.c.,Dogtown Cr.,5.38,235.0,302.0,0.93,0.7,0.815,10MU,0.000768802,0.832,97.96%,,0.077,0.01,>50
ZB03,T.c.,Dogtown Cr.,5.45,237.0,309.0,0.993,1.039,1.016,10MU,0.000778805,0.849,119.67%,,0.078,0.01,>50
ZB04,T.c.,Dogtown Cr.,5.38,237.0,310.0,1.024,0.853,0.939,10MU,0.000768802,0.871,107.75%,,0.077,0.01,>50
ZB05,T.c.,Dogtown Cr.,5.33,227.0,296.0,0.946,0.84,0.893,10MU,0.000761657,0.927,96.33%,,0.076,0.01,>50
ZB06,T.c.,Dogtown Cr.,5.62,236.0,307.0,0.866,0.816,0.841,10MU,0.000803098,1.09,77.16%,,0.08,0.01,>50
ZB07,T.c.,Dogtown Cr.,4.73,228.0,302.0,1.068,0.711,0.89,10MU,0.000675917,1.088,81.76%,,0.068,0.01,>50
ZB08,T.c.,Dogtown Cr.,5.7,235.0,308.0,0.798,0.706,0.752,10MU,0.00081453,0.945,79.58%,,0.081,0.01,>50
ZB09,T.c.,Dogtown Cr.,5.12,237.0,315.0,0.809,0.881,0.845,10MU,0.000731648,0.857,98.60%,,0.073,0.01,>50
ZB10,T.c.,Dogtown Cr.,5.57,238.0,311.0,0.92,0.938,0.929,10MU,0.000795953,0.802,115.84%,,0.08,0.01,>50
ZB11,T.c.,Dogtown Cr.,5.59,239.0,303.0,0.989,0.739,0.864,10MU,0.000798811,0.708,122.03%,,0.08,0.01,>50
nan,,,,,,,,,,,,,,,,
7.013,couchii,Indian Jim,79.0,656.0,791.0,0.356,0.591,0.474,1MU,0.00112891,0.532,89.00%,1.429e-05,0.023,0.05,15.5
7.014,couchii,Rich Bar,163.8,782.0,970.0,0.442,0.651,0.547,1MU,0.002340702,0.682,80.13%,,0.047,0.05,56.7
7.034,couchii,Oligby,23.4,432.0,566.0,0.623,0.481,0.552,3MU,0.001003158,0.626,88.18%,,0.201,0.005,47
7.036,couchii,S. F. American,9.4,314.0,407.0,0.765,0.781,0.773,3MU,0.000402978,0.968,79.86%,,0.081,0.005,87.2
7.037,couchii,N. F. Mokelumne,252.7,854.0,1100.0,0.579,0.486,0.533,3MU,0.010833249,0.747,71.29%,,0.217,0.05,10.9
7.043,couchii,Oligby,21.2,411.0,551.0,0.468,0.459,0.464,25MU,0.0075737,0.885,52.37%,,0.151,0.05,43.4
7.044,couchii,Oligby,11.7,345.0,,0.683,0.51,0.597,25MU,0.004179825,0.843,70.76%,,0.084,0.05,>100
7.045,couchii,S. F. American(Silver),11.5,342.0,453.0,,0.62,0.62,25MU,0.004108375,5.562,11.15%,,0.082,0.05,17.5
7.046,couchii,S. F. American,76.3,570.0,,0.659,0.604,0.632,25MU,0.027258175,0.904,69.86%,,0.055,0.5,81.5
7.048,couchii,S.F.American,12.7,321.0,419.0,0.827,0.792,0.81,25MU,,,,1.429e-05,,,NO RUN
7.049,couchii,N.F. Feather,24.7,405.0,,0.814,0.808,0.811,3MU,0.001058889,0.778,104.24%,,0.021,0.05,8.12
7.06,couchii,N fork Kings R.,7.5,290.0,384.0,,1.032,1.032,25MU,0.002679375,0.803,128.52%,,0.054,0.05,>100
7.061,couchii,N fork Kings R.,42.9,523.0,712.0,0.566,0.616,0.591,25MU,0.015326025,1.127,52.44%,,0.307,0.05,26.4
7.062,couchii,S fork American R.,41.5,531.0,715.0,0.74,0.822,0.781,25MU,0.014825875,0.815,95.83%,,0.297,0.05,82.8
11.017,T. couchii,"NF Mokelumne R, CA",23.4,240.0,318.0,0.991,0.917,0.954,10MU,0.00334386,7.978,11.96%,,0.067,0.05,3.06
11.018,T. couchii,"NF Mokelumne R, CA",24.7,254.0,340.0,0.804,0.801,0.803,10MU,0.00352963,15.448,5.19%,,0.071,0.05,2.47
