ID,Collector ID,Species,Locality,Unnamed: 4,Mass,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,50%MAMU
16.1,EJE 158,T. couchii,Nevada,Faucherie Lake Dam,56.8,,,0.946,0.72,0.833,5MAMU,0.00405836,1.301,64.03%,,0.081,0.05,8.6
16.101,EJE 159,T. couchii,Nevada,Faucherie Lake Dam,33.2,,,0.663,0.756,0.71,5MAMU,0.00237214,1.139,62.29%,,0.047,0.05,21.4
16.102,EJE 160,T. couchii,Nevada,Faucherie Lake Dam,9.4,,,0.913,,0.913,5MAMU,0.00067163,1.889,48.33%,,0.013,0.05,21.7
16.108,CRF 3063,T. couchii,Toulumne,Cherry Creek,89.2,,,0.865,,0.865,25MAMU,0.0318667,,#DIV/0!,,0.319,0.1,Gave Birth
16.109,CRF 3064,T. couchii,Toulumne,Cherry Creek,48.8,,,0.706,0.796,0.751,25MAMU,0.0174338,1.183,63.48%,,0.174,0.1,69
16.11,CRF 3065,T. couchii,Toulumne,Cherry Creek,59.4,,,0.702,0.867,0.785,25MAMU,0.02122065,1.023,76.69%,,0.212,0.1,85.3
16.111,CRF 3066,T. couchii,Toulumne,Cherry Creek,62.7,,,0.731,,0.731,25MAMU,0.022399575,1.306,55.97%,,0.224,0.1,122.8
16.112,CRF 3067,T. couchii,Toulumne,Cherry Creek,35.9,,,0.843,1.061,0.952,25MAMU,0.012825275,0.97,98.14%,,0.128,0.1,No Data
16.113,CRF 3068,T. couchii,Toulumne,Cherry Creek,49.0,,,,,#DIV/0!,25MAMU,0.01750525,,#DIV/0!,,,,No Data
16.114,CRF 3069,T. couchii,Toulumne,Cherry Creek,48.8,,,0.63,0.557,0.594,25MAMU,0.0174338,0.39,152.18%,,0.174,0.1,37.8
16.115,CRF 3070,T. couchii,Toulumne,Cherry Creek,41.5,,,0.932,0.902,0.917,25MAMU,0.014825875,1.21,75.79%,,0.148,0.1,58.8
16.116,CRF 3071,T. couchii,Toulumne,Cherry Creek,56.1,,,,,#DIV/0!,25MAMU,0.020041725,,#DIV/0!,,,,No Data
16.117,CRF 3072,T. couchii,Toulumne,Cherry Creek,48.9,,,0.82,0.653,0.737,25MAMU,0.017469525,1.284,57.36%,,0.175,0.1,82.9
16.118,CRF 3073,T. couchii,Toulumne,Cherry Creek,42.1,,,,,#DIV/0!,25MAMU,0.015040225,,#DIV/0!,,,,No Data
16.119,CRF 3074,T. couchii,Toulumne,Cherry Creek,25.8,,,0.977,,0.977,25MAMU,0.00921705,2.094,46.66%,,0.092,0.1,21.9
16.68,CRF 3051,T. couchii,Lassen,Williams Creek,32.3,,,0.948,0.831,0.89,5MAMU,0.002307835,8.527,10.43%,,0.046,0.05,3.3
16.69,CRF 3052,T. couchii,Lassen,Williams Creek,9.9,,,0.855,0.801,0.828,5MAMU,0.000707355,6.095,13.58%,,0.014,0.05,3.3
16.7,CRF 3053,T. couchii,Lassen,Williams Creek,6.9,,,0.918,0.936,0.927,5MAMU,0.000493005,11.283,8.22%,,0.099,0.005,3.2
