lep species,abundance
acharia horrida,1
acharia hyperoche,28
acharia nesea,182
acharia ophelians,26
acharia sarans,33
acharia sp,3
achlyodes bursirus heros,136
achlyodes selva,4
achlyodes sp,4
achlyodes thraso,71
aclytia albistriga,11
aclytia haber,1
acribia maculifrons,9
acroceracops sp,1
acrotomia mucia,1
acrotomia trilva,62
actinote guatemalena,10
actinote leucomelas,111
adeloneivaia jason,8
adeloneivaia sp,1
adelpha boeotia boeotia,1
adelpha celerio,8
adelpha cocala lorzae,12
adelpha cytherea marcia,74
adelpha erotia,3
adelpha heraclea,2
adelpha ixia leucas,3
adelpha lerna aeolia,1
adelpha pylaca,1
adelpha sp,26
adhemarius sp,1
adhemarius ypsilon,1
aellops ceculus,10
aesiocopa necrofolia,2
agaraea sp,823
agrius cingulata,1
agyrogramma verruca,3
amastus helops,36
amorbia depicta,4
amorbia sp,11
amphimoea walkeri,16
anacrusis auleodes,13
anacrusis nephrodes,24
anacrusis nephrodes/auleodes,1
anacrusis sp,22
anarmodia nebulosalis,30
ancereropia sp,3
ancyluris jurgensenii,2
ancyluris sp,1
anomis nr patagiata,43
anomis sp,9
antaeotricha renselariana,11
anthoptus epictetus,2
anthoptus sp,1
antichloris viridis,31
anticla antica,2
anticlea sp,24
antiopha multilinea,1
antirrhea philoctetes,1
antirrhea sp,1
apatelodes adrastia,2
apatelodes albipuncta,4
apatelodes erotina,222
apatelodes sp,9
aphrissa neleis,1
aphrissa statira,3
apomopteryx pterophoralis,6
appias drucilla,5
arawacus nr lincoides,11
arawakus sp,4
archaeoprepona sp,7
archaeprepona demophon,1
archaeprepona demophon gulina,12
aroma aroma,2
astraptes alardus,85
astraptes anaphus annetta,1
astraptes augeas,1
astraptes fulgerator azul,110
astraptes nr egregius,1
astraptes sp,20
asturodes fimbriauralis,18
ategumia sp,6
atteva aurea,2
atteva sp,3
automeris beltii,2
automeris celata,9
automeris exigua,32
automeris hamata,1
automeris phrynon,1
automeris postalbida,90
automeris sp,676
automeris tridens,41
automeris zugana,1
bardaxima perces,5
battus belus varus,12
battus nr belus varus,1
battus polydamas polydamas,16
battus sp,55
betulodes sp,1
bigeyes oxytenid,1
brenthia sp,33
bungalotis nr quadratum,1
bungalotis sp,2
caerois gerdrudtus,4
calephelis sp,2
caligo atreus ,1
caligo atreus dionisos,3
caligo eurylochus solanus,43
caligo illioneus oberon,14
caligo memnon,328
caligo sp,76
callicore peralta,1
callopistria floridensis,6
callopistria jamaicensis,2
calodesma maculifrons,1
calospila cilissa,2
calpodes ethlius,15
calpodes sp,1
carrhenes canescens canescens,1
castilia ofella,58
catephiodes trinidadensis,94
catonephele numilia esite,5
catonephele orites,33
catonephele sp,11
charis iris,1
chetone angulosa,6
chetone ithomia,21
chloreuptychia arnaea,3
chloropaschia sp,37
chlosyne gaudealis,213
chlosyne janais,692
chlosyne lacinia,40
chlosyne sp,29
chrostosoma sp,1
cimicodes ferruginea,2
cissia alcinoe,1
cissia terrestris,3
cocytius beelzebuth,1
cocytius duponchel,12
cocytius sp,2
