locale,lep species,lep species
0-1 anos parcelo,dunama sp,7
0-1 anos parcelo,spodoptera sp,1
1-2 anos parcelo,emesis lucinda,8
1050,antichloris viridis,1
4-5 anos parcela 4,euptychia jesia,1
50 mtrs del porton principal,eois sp,1
across river,catonephele orites,3
across river,milanion sp,8
across river,paches sp,1
across river,pantographa suffusalis,2
across river,tarchon felderi,1
across river,temenis sp,1
am,dysodia sp,2
am,epimecis sp,1
am,quadrus cerialis,4
am,talides sp,1
am,urbanus nr pronus,1
am 100,dyscophellus phraxanor,1
am 100,quadrus cerialis,1
am 150,quadrus cerialis,1
am 50,euptychia jesia,5
ambient lab,anomis nr patagiata,1
ambient lab,euptychia jesia,2
arboleda,agaraea sp,3
arboleda,amorbia sp,5
arboleda,anacrusis auleodes,1
arboleda,astraptes alardus,1
arboleda,automeris postalbida,1
arboleda,caligo memnon,1
arboleda,chlosyne gaudealis,19
arboleda,chlosyne janais,27
arboleda,chlosyne sp,10
arboleda,colobura dirce,2
arboleda,cosmosoma zucheri,2
arboleda,cyclomia nr disparilis,5
arboleda,cyllopoda jatropharia,2
arboleda,dasylophia sp,4
arboleda,desmia sp 2,2
arboleda,dubiella fiscella belpa,1
arboleda,dysodia sp,2
arboleda,ebrietas evanidus,1
arboleda,ebrietas sp,3
arboleda,entheus matho,10
arboleda,eois apyraria,2
arboleda,eois sp,1
arboleda,eois sp 3,1
arboleda,eunica mira,1
arboleda,euptychia jesia,16
arboleda,gonodonta sp,1
arboleda,halysidota pectenalla,16
arboleda,hylesia sp,1
arboleda,ischnopteris bryifera commixta,1
arboleda,morpho amantote,1
arboleda,nicetas sp,3
arboleda,nystalea virgula,1
arboleda,pantographa expansalis,2
arboleda,papilio birchalli godmani,3
arboleda,periphoba arcaei,3
arboleda,pyrrhogyra otolais otolais,6
arboleda,quadrus cerialis,11
arboleda,ropela sp,4
arboleda,rothschildia triloba,2
arboleda,saliana sp,1
arboleda,spodoptera sp,1
arboleda,staphylus sp 1,1
arboleda,talides sp,1
arboleda,tarchon felderi,7
arboleda,telemiades nr antiope,1
arboleda,telemiades sp 1,1
arboleda,turesis complanula,1
arboleda,zaretis itys,2
az 300,gonodonta sp,1
az 300,oraesia nobilis,1
banaranja,eumorpha labruscae,1
behind kitchen,battus sp,1
behind lab,adelpha cocala lorzae,1
behind lab,quadrus sp,1
bosque,eois apyraria,17
bosque,eois nympha,5
bosque,eois sp 12,13
bosque,quadrus cerialis,3
bosque la loma,quadrus cerialis,1
braulio,actinote leucomelas,111
braulio,automeris sp,1
braulio,opsiphanes tamarindi,2
bridge,acharia nesea,30
bridge,achlyodes bursirus heros,1
bridge,adeloneivaia jason,1
bridge,adelpha lerna aeolia,1
bridge,archaeoprepona sp,1
bridge,archaeprepona demophon gulina,1
bridge,bungalotis nr quadratum,1
bridge,bungalotis sp,1
bridge,catonephele numilia esite,1
bridge,chlosyne sp,1
bridge,copaxa curvilinear,5
bridge,crinodes sp,1
bridge,dasylophia sp,1
bridge,desmia sp,2
bridge,eucereon sp,2
bridge,euclystis sp,2
bridge,eueides aliphera,2
bridge,gonodonta sp,1
bridge,heliconius hecalesia formosus,1
bridge,hemiceras monegouda,1
bridge,lirimiris nr truncata,1
bridge,malocampa sida,24
bridge,manduca florestan,1
bridge,marpesia petreus,1
