,lep species,plant species_x,plant species_y
0,acharia horrida,1,['calathea crotalifera']
1,acharia hyperoche,2,['musa acuminata' nan 'solanum sp']
2,acharia nesea,8,"['anthurium sp' nan 'hyeronima alchorneoides' 'inga edulis' 'heliconia sp'
 'anthurium clavigerum' 'piper reticulatum' 'guatteria diospyroides'
 'adelia triloba']"
3,acharia ophelians,1,['heliconia sp']
4,acharia sarans,8,"[nan 'alchornea costaricensis' 'musa sp' 'heliconia sp'
 'anthurium clavigerum' 'neea psychotroides' 'calathea lutea'
 'anthurium sp' 'calathea sp']"
5,acharia sp,3,['piper colonense' 'piper sp' 'heliconia sp']
6,achlyodes bursirus heros,7,"[nan 'psychotria chiapensis' 'zanthoxylum panamense' 'hiraea reclinata'
 'zanthoxylum sp' 'myriocarpa longipes' 'hampea appendiculata'
 'jacaratia spinosa']"
7,achlyodes selva,1,['zanthoxylum panamense']
8,achlyodes sp,3,['zanthoxylum panamense' 'piper reticulatum' 'siparuna grandiflora']
9,achlyodes thraso,2,['zanthoxylum panamense' nan 'zanthoxylum ridelianum']
10,aclytia albistriga,3,[nan 'fischeria panamensis' 'scleria sp' 'cordia alliodora']
11,aclytia haber,0,[nan]
12,acribia maculifrons,1,['stigmaphyllon lindenianum']
13,acroceracops sp,1,['myriocarpa longipes']
14,acrotomia mucia,1,['psychotria eurycarpa']
15,acrotomia trilva,4,['gouania lupuloides' nan 'piper auritum' 'gouania sp' 'gouania polygama']
16,actinote guatemalena,3,['mikania sp' 'mikania vitifolia' 'piper sp']
17,actinote leucomelas,1,['mikania sp']
18,adeloneivaia jason,3,['pithecellobium longifolium' 'inga sp' 'zygia longifolia']
19,adeloneivaia sp,1,['virola sebifera']
20,adelpha boeotia boeotia,1,['warszewiczia coccinea']
21,adelpha celerio,4,"['miconia multispicata' 'sabicea sp' 'conostegia subcrustulata'
 'warszewiczia coccinea']"
22,adelpha cocala lorzae,2,['warszewiczia coccinea' 'pentagonia donnell-smithii' nan]
23,adelpha cytherea marcia,5,"['sabicea villosa' 'heliocarpus appendiculatus' 'solanum rugosum'
 'warszewiczia coccinea' 'pentagonia donnell-smithii']"
24,adelpha erotia,2,['cecropia obtusifolia' 'sabicea villosa']
25,adelpha heraclea,2,['neea psychotroides' 'vitex cooperi']
26,adelpha ixia leucas,1,['jubelina wilburii' nan]
27,adelpha lerna aeolia,1,['hiraea sp']
28,adelpha pylaca,1,['luehea seemannii']
29,adelpha sp,13,"['cecropia obtusifolia' nan 'myriocarpa longipes' 'sabicea sp'
 'sabicea villosa' 'heliocarpus sp' 'psychotria sp'
 'conostegia subcrustulata' 'pentagonia donnell-smithii'
 'ochroma pyramidale' 'faramea sp' 'inga sp' 'uncaria tomentosa'
 'pentagonia monocaulis']"
30,adhemarius sp,1,['ocotea sp']
31,adhemarius ypsilon,1,['ocotea sarah']
32,aellops ceculus,2,['sabicea villosa' 'sabicea sp' nan]
33,aesiocopa necrofolia,1,['piper reticulatum']
34,agaraea sp,5,"['costus malortieanus' 'costus sp' 'costus scaber' 'hampea appendiculata'
 'aciotis rubricaulis']"
35,agrius cingulata,1,['ipomoea squamosa']
36,agyrogramma verruca,1,['piper auritum']
37,amastus helops,3,['pouteria unilocularis' 'ficus insipida' 'ficus colubrinae']
38,amorbia depicta,2,['piper auritum' 'piper hispidum' nan]
39,amorbia sp,1,['cecropia obtusifolia']
40,amphimoea walkeri,1,['anaxagorea crassipetala']
41,anacrusis auleodes,9,"[nan 'sorocea pubivena' 'piper sp' 'smilax sp' 'ardisia nigropunctata'
 'piper reticulatum' 'annona muricata' 'colubrina spinosa'
 'ochroma pyramidale' 'piper multiplinervium']"
42,anacrusis nephrodes,5,"['ardisia nigropunctata' 'piper reticulatum' 'nectandra reticulata'
 'piper cenocladum' 'hampea appendiculata' nan]"
43,anacrusis nephrodes/auleodes,1,['hampea appandiculata']
44,anacrusis sp,12,"[nan 'solanum rugosum' 'erythroxylum macrophyllum' 'lycianthes synanthera'
 'hampea appendiculata' 'neea sp' 'piper peltatum' 'piper lanceifolium'
 'pentagonia donnell-smithii' 'piper auritum' 'psychotria chiapensis'
 'nectandra reticulata' 'piper reticulatum']"
45,anarmodia nebulosalis,1,['composneura sp']
46,ancereropia sp,1,['pourouma sp']
47,ancyluris jurgensenii,1,[nan 'hyeronima alchorneoides']
48,ancyluris sp,1,['guatteria diospyroides']
49,anomis nr patagiata,3,['hampea appendiculata' 'lycianthes synanthera' 'hamelia patens']
50,anomis sp,4,"['hampea appendiculata' 'heliocarpus appendiculatus' nan
 'pavonia schiedeana' 'pavonia sp']"
51,antaeotricha renselariana,2,['pterocarpus sp' 'pterocarpus hayesii']
52,anthoptus epictetus,1,[nan 'paspalum sp']
53,anthoptus sp,1,['panicum sp']
54,antichloris viridis,5,"['musa sp' 'rollinia pittieri' 'heliconia sp' 'musa velutina'
 'calathea sp']"
55,anticla antica,2,['castilla elastica' 'maquira costaricana']
56,anticlea sp,1,['maquira costaricana']
57,antiopha multilinea,1,['paullinia rufescens']
58,antirrhea philoctetes,1,['socratea exorrhiza']
59,antirrhea sp,1,['heliconia sp']
60,apatelodes adrastia,2,['chamissoa altissima' 'piper sancti-felicis']
61,apatelodes albipuncta,3,['rollinia sp' 'calathea sp' 'piper auritum']
62,apatelodes erotina,26,"['piper auritum' 'stigmaphyllon lindenianum' 'ipomoea sp' nan
 'piper peltatum' 'witheringia asterotricha' 'solanum adhaerens'
 'aegiphila falcata' 'psychotria hebeclada' 'casearia arborea'
 'pavonia sp' 'piper colonense' 'piper sp' 'vernonanthura patens'
 'solanum rudepannum' 'byttneria aculeata' 'croton panamensis'
 'solanum sp' 'piper multiplinervium' 'cordia alliodora' 'piper hispidum'
 'piptocarpha poeppigiana' 'cedrela odorata' 'cestrum racemosum'
 'ipomoea philomega' 'mikania sp' 'piper sancti-felicis']"
63,apatelodes sp,6,"['vernonanthura patens' 'ocotea hartshorniana' 'casearia corymbosa'
 'casearia arborea' 'witheringia asterotricha' 'amphilophium paniculatum']"
64,aphrissa neleis,1,['pithecellobium longifolium']
65,aphrissa statira,1,['pithecellobium longifolium']
66,apomopteryx pterophoralis,1,['laportea aestuans']
67,appias drucilla,1,[nan 'dichapetalum axillare']
