lep species,plant species
acharia horrida,['calathea crotalifera']
acharia hyperoche,['musa acuminata' nan 'solanum sp']
acharia nesea,"['anthurium sp' nan 'hyeronima alchorneoides' 'inga edulis' 'heliconia sp'
 'anthurium clavigerum' 'piper reticulatum' 'guatteria diospyroides'
 'adelia triloba']"
acharia ophelians,['heliconia sp']
acharia sarans,"[nan 'alchornea costaricensis' 'musa sp' 'heliconia sp'
 'anthurium clavigerum' 'neea psychotroides' 'calathea lutea'
 'anthurium sp' 'calathea sp']"
acharia sp,['piper colonense' 'piper sp' 'heliconia sp']
achlyodes bursirus heros,"[nan 'psychotria chiapensis' 'zanthoxylum panamense' 'hiraea reclinata'
 'zanthoxylum sp' 'myriocarpa longipes' 'hampea appendiculata'
 'jacaratia spinosa']"
achlyodes selva,['zanthoxylum panamense']
achlyodes sp,['zanthoxylum panamense' 'piper reticulatum' 'siparuna grandiflora']
achlyodes thraso,['zanthoxylum panamense' nan 'zanthoxylum ridelianum']
aclytia albistriga,[nan 'fischeria panamensis' 'scleria sp' 'cordia alliodora']
aclytia haber,[nan]
acribia maculifrons,['stigmaphyllon lindenianum']
acroceracops sp,['myriocarpa longipes']
acrotomia mucia,['psychotria eurycarpa']
acrotomia trilva,['gouania lupuloides' nan 'piper auritum' 'gouania sp' 'gouania polygama']
actinote guatemalena,['mikania sp' 'mikania vitifolia' 'piper sp']
actinote leucomelas,['mikania sp']
adeloneivaia jason,['pithecellobium longifolium' 'inga sp' 'zygia longifolia']
adeloneivaia sp,['virola sebifera']
adelpha boeotia boeotia,['warszewiczia coccinea']
adelpha celerio,"['miconia multispicata' 'sabicea sp' 'conostegia subcrustulata'
 'warszewiczia coccinea']"
adelpha cocala lorzae,['warszewiczia coccinea' 'pentagonia donnell-smithii' nan]
adelpha cytherea marcia,"['sabicea villosa' 'heliocarpus appendiculatus' 'solanum rugosum'
 'warszewiczia coccinea' 'pentagonia donnell-smithii']"
adelpha erotia,['cecropia obtusifolia' 'sabicea villosa']
adelpha heraclea,['neea psychotroides' 'vitex cooperi']
adelpha ixia leucas,['jubelina wilburii' nan]
adelpha lerna aeolia,['hiraea sp']
adelpha pylaca,['luehea seemannii']
adelpha sp,"['cecropia obtusifolia' nan 'myriocarpa longipes' 'sabicea sp'
 'sabicea villosa' 'heliocarpus sp' 'psychotria sp'
 'conostegia subcrustulata' 'pentagonia donnell-smithii'
 'ochroma pyramidale' 'faramea sp' 'inga sp' 'uncaria tomentosa'
 'pentagonia monocaulis']"
adhemarius sp,['ocotea sp']
adhemarius ypsilon,['ocotea sarah']
aellops ceculus,['sabicea villosa' 'sabicea sp' nan]
aesiocopa necrofolia,['piper reticulatum']
agaraea sp,"['costus malortieanus' 'costus sp' 'costus scaber' 'hampea appendiculata'
 'aciotis rubricaulis']"
agrius cingulata,['ipomoea squamosa']
agyrogramma verruca,['piper auritum']
amastus helops,['pouteria unilocularis' 'ficus insipida' 'ficus colubrinae']
amorbia depicta,['piper auritum' 'piper hispidum' nan]
amorbia sp,['cecropia obtusifolia']
amphimoea walkeri,['anaxagorea crassipetala']
anacrusis auleodes,"[nan 'sorocea pubivena' 'piper sp' 'smilax sp' 'ardisia nigropunctata'
 'piper reticulatum' 'annona muricata' 'colubrina spinosa'
 'ochroma pyramidale' 'piper multiplinervium']"
anacrusis nephrodes,"['ardisia nigropunctata' 'piper reticulatum' 'nectandra reticulata'
 'piper cenocladum' 'hampea appendiculata' nan]"
anacrusis nephrodes/auleodes,['hampea appandiculata']
anacrusis sp,"[nan 'solanum rugosum' 'erythroxylum macrophyllum' 'lycianthes synanthera'
 'hampea appendiculata' 'neea sp' 'piper peltatum' 'piper lanceifolium'
 'pentagonia donnell-smithii' 'piper auritum' 'psychotria chiapensis'
 'nectandra reticulata' 'piper reticulatum']"
anarmodia nebulosalis,['composneura sp']
ancereropia sp,['pourouma sp']
ancyluris jurgensenii,[nan 'hyeronima alchorneoides']
