lep species,plant species
acharia horrida,1
acharia hyperoche,2
acharia nesea,8
acharia ophelians,1
acharia sarans,8
acharia sp,3
achlyodes bursirus heros,7
achlyodes selva,1
achlyodes sp,3
achlyodes thraso,2
aclytia albistriga,3
aclytia haber,0
acribia maculifrons,1
acroceracops sp,1
acrotomia mucia,1
acrotomia trilva,4
actinote guatemalena,3
actinote leucomelas,1
adeloneivaia jason,3
adeloneivaia sp,1
adelpha boeotia boeotia,1
adelpha celerio,4
adelpha cocala lorzae,2
adelpha cytherea marcia,5
adelpha erotia,2
adelpha heraclea,2
adelpha ixia leucas,1
adelpha lerna aeolia,1
adelpha pylaca,1
adelpha sp,13
adhemarius sp,1
adhemarius ypsilon,1
aellops ceculus,2
aesiocopa necrofolia,1
agaraea sp,5
agrius cingulata,1
agyrogramma verruca,1
amastus helops,3
amorbia depicta,2
amorbia sp,1
amphimoea walkeri,1
anacrusis auleodes,9
anacrusis nephrodes,5
anacrusis nephrodes/auleodes,1
anacrusis sp,12
anarmodia nebulosalis,1
ancereropia sp,1
ancyluris jurgensenii,1
ancyluris sp,1
anomis nr patagiata,3
anomis sp,4
antaeotricha renselariana,2
anthoptus epictetus,1
anthoptus sp,1
antichloris viridis,5
anticla antica,2
anticlea sp,1
antiopha multilinea,1
antirrhea philoctetes,1
antirrhea sp,1
apatelodes adrastia,2
apatelodes albipuncta,3
apatelodes erotina,26
apatelodes sp,6
aphrissa neleis,1
aphrissa statira,1
apomopteryx pterophoralis,1
appias drucilla,1
arawacus nr lincoides,5
arawakus sp,2
archaeoprepona sp,4
archaeprepona demophon,1
archaeprepona demophon gulina,4
aroma aroma,1
astraptes alardus,7
astraptes anaphus annetta,0
astraptes augeas,1
astraptes fulgerator azul,9
astraptes nr egregius,1
astraptes sp,5
asturodes fimbriauralis,4
ategumia sp,3
atteva aurea,1
atteva sp,1
automeris beltii,1
automeris celata,1
automeris exigua,4
automeris hamata,1
automeris phrynon,1
automeris postalbida,22
automeris sp,25
automeris tridens,13
automeris zugana,1
bardaxima perces,1
battus belus varus,2
battus nr belus varus,0
battus polydamas polydamas,2
battus sp,3
betulodes sp,1
bigeyes oxytenid,0
brenthia sp,1
bungalotis nr quadratum,1
bungalotis sp,2
