ID,Date Collected,locale,plant family,plant species,plant common name,order,family,sub family,lep species,lep name
307.2,12-Oct-97,str,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
307.303,15-Oct-97,str 2800,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
410.0,4-Jan-98,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
687.0,26-May-98,huertos,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
877.0,17-Jun-98,glasnost 2,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
881.0,17-Jun-98,glasnost 2,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
883.0,17-Jun-98,glasnost 2,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
985.0,1-Jul-98,succ plot 1-2 yr,,,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1200.0,9-Aug-98,str 350,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1329.0,12-Aug-98,arboleda,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1381.0,14-Aug-98,glacha,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1429.1,19-Aug-98,succ plot,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1429.2,19-Aug-98,succ plot,,,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1502.0,16-Dec-98,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1505.0,16-Dec-98,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1508.0,16-Dec-98,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1776.0,11-Jan-99,glasnost 2,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1798.0,15-Jan-99,glacha,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1799.0,15-Jan-99,glacha,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1866.0,3-Feb-99,glacha,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1879.0,3-Feb-99,glacha,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1884.0,4-Feb-99,str 200,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1900.0,4-Feb-99,glacha,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
1939.0,6-Feb-99,huertos,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
4103.0,17-Feb-99,sso,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
4104.0,18-Feb-99,sur,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
4117.0,18-Feb-99,sur,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
4176.0,21-Feb-99,glacha,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
4222.0,23-Feb-99,ccl 50,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
4223.0,23-Feb-99,ccl 50,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
4804.0,17-May-99,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
4833.0,17-May-99,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
4835.0,17-May-99,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
4836.0,17-May-99,huertos,piperaceae,piper hispidum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
4894.0,18-May-99,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
5229.0,1-Jun-99,glacha,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid 
5560.0,21-Jun-99,str 350,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
5571.0,22-Jun-99,succ plot 1-2 yr,piperaceae,piper urostachyum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
5587.0,25-Jun-99,str 450,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
5630.0,8-Jul-99,glacha,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
5752.0,26-Jul-99,succ plot 0-1 yr,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
6042.0,3-Aug-99,lep,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
