MAMU,BASE,WT,SVL,TL
149.5,1.407,4.8,209.0,285.0
63.5,1.463,7.5,222.0,301.0
36.5,1.084,5.1,228.0,314.0
61.5,0.791,16.8,372.0,499.0
123.8,0.806,41.4,477.0,650.0
119.5,0.688,23.3,384.0,532.0
73.8,0.755,36.4,420.0,583.0
109.0,0.745,43.3,456.0,585.0
120.0,1.027,64.9,520.0,699.0
122.6,0.859,37.5,459.0,630.0
161.5,0.886,44.7,494.0,678.0
142.0,0.938,55.8,493.0,671.0
134.9,0.965,9.1,255.0,342.0
48.8,1.122,3.54,192,251
41.1,1.006,3.12,193,258
86,1.223,3.22,193,249
92.9,1.151,3.17,189,244
85.8,1.198,3.4,191,247
73.7,1.196,3.59,195,256
79.2,1.111,3.4,187,245
53.6,1.115,3.17,191,256
69.9,1.144,2.86,185,241
50.6,1.135,3.27,190,252
60.7,1.176,3.42,197,257
65,1.118,3.12,189,247
77.1,1.173,3.1,197,254
57.7,1.126,3.24,194,259
85.3,1.487,2.5,178,234
80.2,1.432,2.85,187,250
93.7,1.175,3.74,193,262
86.4,1.35,3.45,193,260
59,1.122,3.25,190,248
84.7,1.334,3.4,187,252
84.2,1.469,3.2,175,232
64,1.358,3.17,186,253
75.9,1.263,3.49,193,260
57.4,1.199,3.63,195,261
81.8,1.397,3.65,192,258
82.5,1.006,5.1,228,303
73.6,1.021,4.21,198,265
77.3,1.17,3.91,196,263
61.3,1.156,3.66,188,245
64.9,1.119,3.89,190,254
67.7,1.066,3.72,195,259
54.2,1.111,3.7,191,256
64.5,1.092,3.23,185,245
70.6,1.234,3.05,183,236
61,1.24,3.52,182,240
76,1.045,3.76,193,259
112.4,1.245,4.15,193,258
86.9,1.045,4.23,205,277
90.8,1.051,4.36,207,280
98.8,0.979,3.98,196,267
113.4,1.113,4.66,206,274
147.4,1.121,4.39,203,268
121,1.227,4.24,204,276
97.1,1.234,3.46,195,262
83.4,0.992,4.04,200,267
84.3,0.988,4.41,205,271
107.6,1.188,4.44,206,274
100,1.041,4.39,205,272
4.98,1.147,6.08,227,295
5.12,1.214,7.3,222,294
1.53,1.115,5.11,221,296
3.45,1.389,6.24,213,289
3.92,1.178,6.19,234,311
3.34,1.408,6.92,228,297
4.48,1.379,5.98,213,283
1.71,0.596,129.5,700,856
2.21,0.632,126.3,666,844
1.42,0.646,98.7,630,811
1.44,0.551,91.6,656,836
1.7,0.638,82.4,649,830
2.19,0.613,98.5,600,772
1.32,0.633,137.5,643,814
1.28,0.641,115.7,655,827
2.24,0.768,156.8,674,866
1.97,0.702,147.6,672,850
6,0.722,103.8,642,
9.45,0.665,202.5,744,
4.5,0.629,67.6,577,
5.65,0.714,147.9,710,
4.84,0.99,16.5,337,
5.35,0.783,18.5,380,
4.54,1.019,8.3,261,
5.2,1.134,6,253,
4.42,1.079,5.4,261,
2.88,0.87,6.5,248,
3.24,0.944,23.5,388,
2.52,0.677,117.9,650,
3.2,1.031,5.3,226,
2.64,0.989,62.2,559,
3.81,0.777,43.8,481,
2.95,0.883,42.5,473,
3.1,0.756,44.5,490,
2.65,0.866,58,529,
74.5,0.904,58.6,591,
88,0.845,57.3,526,
70.5,0.701,75.7,572,
47.7,0.751,34.9,435,
80,0.98,35.6,423,
18.6,0.6,59.9,544,
102,1.1,5.6,220,
40.7,1.324,5.6,186,254
98.6,1.415,4.4,180,247
